item_id,llm_text
1,"Movie 'Toy Story (1995)', release date: 01-Jan-1995. Genres: Animation, Children's, Comedy."
2,"Movie 'GoldenEye (1995)', release date: 01-Jan-1995. Genres: Action, Adventure, Thriller."
3,"Movie 'Four Rooms (1995)', release date: 01-Jan-1995. Genres: Thriller."
4,"Movie 'Get Shorty (1995)', release date: 01-Jan-1995. Genres: Action, Comedy, Drama."
5,"Movie 'Copycat (1995)', release date: 01-Jan-1995. Genres: Crime, Drama, Thriller."
6,"Movie 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', release date: 01-Jan-1995. Genres: Drama."
7,"Movie 'Twelve Monkeys (1995)', release date: 01-Jan-1995. Genres: Drama, Sci-Fi."
8,"Movie 'Babe (1995)', release date: 01-Jan-1995. Genres: Children's, Comedy, Drama."
9,"Movie 'Dead Man Walking (1995)', release date: 01-Jan-1995. Genres: Drama."
10,"Movie 'Richard III (1995)', release date: 22-Jan-1996. Genres: Drama, War."
11,"Movie 'Seven (Se7en) (1995)', release date: 01-Jan-1995. Genres: Crime, Thriller."
12,"Movie 'Usual Suspects, The (1995)', release date: 14-Aug-1995. Genres: Crime, Thriller."
13,"Movie 'Mighty Aphrodite (1995)', release date: 30-Oct-1995. Genres: Comedy."
14,"Movie 'Postino, Il (1994)', release date: 01-Jan-1994. Genres: Drama, Romance."
15,"Movie 'Mr. Holland's Opus (1995)', release date: 29-Jan-1996. Genres: Drama."
16,"Movie 'French Twist (Gazon maudit) (1995)', release date: 01-Jan-1995. Genres: Comedy, Romance."
17,"Movie 'From Dusk Till Dawn (1996)', release date: 05-Feb-1996. Genres: Action, Comedy, Crime, Horror, Thriller."
18,"Movie 'White Balloon, The (1995)', release date: 01-Jan-1995. Genres: Drama."
19,"Movie 'Antonia's Line (1995)', release date: 01-Jan-1995. Genres: Drama."
20,"Movie 'Angels and Insects (1995)', release date: 01-Jan-1995. Genres: Drama, Romance."
21,"Movie 'Muppet Treasure Island (1996)', release date: 16-Feb-1996. Genres: Action, Adventure, Comedy, Musical, Thriller."
22,"Movie 'Braveheart (1995)', release date: 16-Feb-1996. Genres: Action, Drama, War."
23,"Movie 'Taxi Driver (1976)', release date: 16-Feb-1996. Genres: Drama, Thriller."
24,"Movie 'Rumble in the Bronx (1995)', release date: 23-Feb-1996. Genres: Action, Adventure, Crime."
25,"Movie 'Birdcage, The (1996)', release date: 08-Mar-1996. Genres: Comedy."
26,"Movie 'Brothers McMullen, The (1995)', release date: 01-Jan-1995. Genres: Comedy."
27,"Movie 'Bad Boys (1995)', release date: 01-Jan-1995. Genres: Action."
28,"Movie 'Apollo 13 (1995)', release date: 01-Jan-1995. Genres: Action, Drama, Thriller."
29,"Movie 'Batman Forever (1995)', release date: 01-Jan-1995. Genres: Action, Adventure, Comedy, Crime."
30,"Movie 'Belle de jour (1967)', release date: 01-Jan-1967. Genres: Drama."
31,"Movie 'Crimson Tide (1995)', release date: 01-Jan-1995. Genres: Drama, Thriller, War."
32,"Movie 'Crumb (1994)', release date: 01-Jan-1994. Genres: Documentary."
33,"Movie 'Desperado (1995)', release date: 01-Jan-1995. Genres: Action, Romance, Thriller."
34,"Movie 'Doom Generation, The (1995)', release date: 01-Jan-1995. Genres: Comedy, Drama."
35,"Movie 'Free Willy 2: The Adventure Home (1995)', release date: 01-Jan-1995. Genres: Adventure, Children's, Drama."
36,"Movie 'Mad Love (1995)', release date: 01-Jan-1995. Genres: Drama, Romance."
37,"Movie 'Nadja (1994)', release date: 01-Jan-1994. Genres: Drama."
